SALDO sense ID,polarity label
A-bomb..1,-1.0
A-lag..1,0.0
A-lag..2,-1.0
A-lagare..1,-1.0
A-människa..1,0.0
A-vitamin..1,0.0
A-vitaminbrist..1,-1.0
A..1,0.0
ABS-broms..1,0.0
AT-läkare..1,0.0
AV-block..1,-1.0
A_och_O..1,0.0
Afghanistaninsatsen..1,1.0
Afghanistantrupp..1,0.0
Afrikatrad..1,0.0
Alexanderhugg..1,-1.0
Almedalstal..1,0.0
Almedalsveckan..1,0.0
Amors_pil..1,1.0
Antarktisfördraget..1,0.0
Antarktisprojekt..1,0.0
Apolloprogrammet..1,0.0
Arianeraket..1,0.0
Asien-rundresa..1,0.0
B-lag..1,0.0
B-människa..1,0.0
B-vitamin..1,0.0
B-vitaminbrist..1,-1.0
BLARK..1,0.0
BNP-tillväxt..1,0.0
Bachfuga..1,0.0
Ballograf..1,0.0
Banverket..1,0.0
Banverkspersonal..1,0.0
Bayeuxtapeten..1,0.0
Beethovensonat..1,0.0
Berlinmuren..1,0.0
Bondbrud..1,0.0
Bondfilm..1,0.0
Bonnierkoncernen..1,0.0
Bristoltrakten..1,0.0
Brommamamma..1,0.0
C-dur..1,0.0
C-durskalan..1,0.0
C-vitamin..1,0.0
C-vitaminbrist..1,-1.0
CD-ROM..1,0.0
CD-spelare..1,1.0
Carl_Millesmonument..1,0.0
Centauristjärna..1,0.0
Centerpartiet..1,0.0
Chicagobaserad..1,0.0
Citroen..1,0.0
Cointreau..1,0.0
D-vitamin..1,0.0
D-vitaminbrist..1,-1.0
DNA-kedja..1,0.0
DNA-molekyl..1,0.0
DNA-profil..1,0.0
DNA-sekvens..1,0.0
DNA-sekvensering..1,0.0
DNA-sträng..1,0.0
DNA-test..1,0.0
DNA-testa..1,0.0
DNA-testande..1,0.0
DNA-testning..1,0.0
DNA-uppsättning..1,0.0
DVD-ROM..1,0.0
DVD-spelare..1,0.0
Delftporslin..1,0.0
Dramatenchef..1,0.0
Dubaifrossa..1,-1.0
E-godkänd..1,1.0
EU-intern..1,0.0
EU-kommissionen..1,0.0
EU-korrespondent..1,0.0
EU-land..1,0.0
EU-migrant..1,0.0
EU-minister..1,0.0
EU-parlamentariker..1,0.0
EU-parlamentet..1,0.0
EU-skeptisk..1,-1.0
EU-utvidgning..1,0.0
EU-val..1,0.0
Efta-land..1,0.0
Eisenhowerepoken..1,0.0
Europaparlamentet..1,0.0
Europarådet..1,0.0
Europarådsparlamentariker..1,0.0
Europarådsparlamentet..1,0.0
Europaunionen..1,0.0
FN-organ..1,0.0
FN-tribunal..1,0.0
G-krafter..1,1.0
Gadaffitrogen..1,1.0
Gnosjöanda..1,1.0
Golgatavandring..1,0.0
Gotlandserfarenheter..1,1.0
Gotlandsfärja..1,0.0
Greenwichmeridianen..1,0.0
Gripenplan..1,0.0
Guds_finger..1,0.0
Guds_hus..1,0.0
Göteborgsmålare..1,0.0
Hagasessorna..1,0.0
Hausdorffdimensionen..1,0.0
Helsingforsvän..1,1.0
Hiroshimabomben..1,-1.0
Hitchcockfilm..1,0.0
Hobyfyndet..1,0.0
Hollywoodfru..1,0.0
Hultsfredsfestivalen..1,1.0
Hårgalåten..1,0.0
IB-avslöjandet..1,0.0
IC-krets..1,0.0
ID-bricka..1,0.0
ID-kort..1,0.0
IKEA-möbel..1,0.0
IP-nummer..1,0.0
IT-företag..1,0.0
IT-jätte..1,0.0
Ikeavaruhus..1,0.0
Internationella_rymdstationen..1,0.0
Jacksoninspirerad..1,1.0
Jantelag..1,-1.0
Japanoro..1,-1.0
Jupitermåne..1,0.0
KU-anmäla..1,0.0
Kairobesök..1,0.0
Kanal_5..1,0.0
Katynmassaker..1,-1.0
Kinabesök..1,0.0
Kirunatrakten..1,0.0
Kjelmöymaterialet..1,0.0
Kleopatragestalten..1,0.0
Koranbränning..1,0.0
Koranbål..1,0.0
Koreakriget..1,-1.0
Kramforstrakten..1,0.0
Kremldirektiv..1,0.0
Krimkriget..1,-1.0
Kubakrisen..1,-1.0
Kung_Karls_spira..1,0.0
Köchelnummer..1,0.0
Köpenhamnsackord..1,0.0
LCD-TV..1,0.0
LCD-skärm..1,0.0
LED-belysning..1,0.0
LED-lampa..1,0.0
LKAB-konflikten..1,-1.0
LO-chef..1,0.0
LO-ordförande..1,0.0
Linköpingsbo..1,0.0
Linnélärjunge..1,0.0
Lissabonfördraget..1,0.0
Livsmedelsverket..1,0.0
Ljubjankafängelset..1,-1.0
Londonbaserad..1,0.0
MAO-aktivitet..1,0.0
MAO-enzym..1,0.0
Malmökafé..1,0.0
Marseillebaserad..1,0.0
Marsresa..1,0.0
Marylandaccent..1,0.0
Medelhavsinspirerad..1,1.0
Medelhavsland..1,0.0
Medelshavskultur..1,0.0
Mellanösternkonflikten..1,-1.0
Mello..1,0.0
Melodifestivalen..1,0.0
Mercedes..1,0.0
Metallordförande..1,0.0
Migrationsverket..1,0.0
Miljöförvaltningen..1,0.0
Mississippifloden..1,0.0
Missourifloden..1,0.0
Montessoriskola..1,0.0
Mosebok..1,0.0
Moskvaborgmästare..1,0.0
Moskvatrogen..1,1.0
Moskvatrogenhet..1,1.0
Moskvavänlig..1,1.0
Moskvavänlighet..1,1.0
Moskvitj..1,0.0
Muhammedkarikatyr..1,-1.0
Munchlitografi..1,0.0
Mångfaldsbarometern..1,0.0
NSA-läcka..1,0.0
Nationalencyklopedin..1,0.0
Natohelikopter..1,0.0
Natoledd..1,0.0
Natomedlemskap..1,0.0
Natosoldat..1,0.0
Natotrupp..1,0.0
Naturvårdsverket..1,0.0
Newcastlesjuka..1,-1.0
Newcastlesmitta..1,-1.0
Nobelpriskandidat..1,0.0
Nordpolsexpedition..1,0.0
Norrmalmstorgssyndromet..1,0.0
OCRa..1,0.0
OCRande..1,0.0
OECD-land..1,0.0
Oscarsbelönad..1,1.0
Oscarsnominerad..1,0.0
Osloavtalet..1,0.0
Oxfordkommatering..1,0.0
Oxfordstudent..1,0.0
PCB-förbud..1,-1.0
PCB-förening..1,0.0
PCB-förgiftning..1,-1.0
PCB-halt..1,0.0
PCB-olja..1,0.0
PIN-kod..1,0.0
PR-kupp..1,0.0
PR-man..1,0.0
PVC-beläggning..1,0.0
Palestinafrågan..1,-1.0
Palmehat..1,-1.0
Papyrusaktie..1,0.0
Paralympics..1,0.0
Parisflygplats..1,0.0
Patentverket..1,0.0
Pippiinspirerad..1,1.0
QR-kod..1,0.0
Rembrandt..2,0.0
Rikspolisstyrelsen..1,0.0
Risk..1,0.0
Romeo-och-Julia-strategi..1,0.0
SAP-program..1,0.0
SAS-chef..1,0.0
SAS-flygvärdinna..1,1.0
SCOPE-rapport..1,0.0
SI-systemet..1,0.0
SIM-kort..1,0.0
Saab..1,0.0
Salazar-regim..1,0.0
Shakespearedrama..1,0.0
Sheratonstil..1,0.0
Siikavoupioskidan..1,0.0
Sir..1,0.0
Sjöfartsverket..1,0.0
Skagenmålare..1,0.0
Skolinspektionen..1,0.0
Skolverket..1,0.0
Sokratesdialog..1,0.0
